FID;UNITNAME;AGEBRACKET;UNITTABLEL
0;Tournaisian sandstone, mudstone, limestone;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_08.pdf
1;Tournaisian sandstone, mudstone, limestone;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_08.pdf
2;Tournaisian sandstone, mudstone, limestone;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_08.pdf
3;Tournaisian sandstone, mudstone, limestone;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_08.pdf
4;Tournaisian sandstone, mudstone, limestone;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_08.pdf
5;Tournaisian sandstone, mudstone, limestone;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_08.pdf
6;Tournaisian sandstone, mudstone, limestone;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_08.pdf
7;Tournaisian sandstone, mudstone, limestone;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_08.pdf
8;Ordovician volcanic rocks;Palaeozoic, Ordovician;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_04.pdf
9;Ordovician volcanic rocks;Palaeozoic, Ordovician;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_04.pdf
