Line,DATE,DAY,DIR,DTM,FID,FLIGHT,GPS_H,HFApCond,HFApRes,HFDepth,High_Freq,IM_HF,IM_LF,LAT,LFApCond,LFApRes,LFDepth,LONG,Low_Freq,PLM,RALT,RE_HF,RE_LF,TIME,X,Y
L2,20050801,213,345,114.8,21345535.75,48,175.7,0.0300571085061617,33.27,2.98,14368,1222,871,54.4594125330556,0.0196309383588536,50.94,-1.06,-8.17977796277778,3125,1,61.2,1932,786,123855.75,188391,356784
L2,20050801,213,345,115.5,21345535.5,48,176.2,0.0295420974889217,33.85,3.35,14368,1206,867,54.4592778997222,0.0194514685858782,51.41,-0.92,-8.17970027722222,3125,0,61.1,1900,780,123855.5,188396,356769
L2,20050801,213,345,115.7,21345535.25,48,176.8,0.0280898876404494,35.6,3.21,14368,1206,864,54.4591432436111,0.0168890390136801,59.21,-2.3,-8.17963801111111,3125,1,61.4,1870,727,123855.25,188400,356754
L2,20050801,213,345,115.1,21345535,48,177.3,0.0215470803706098,46.41,5.76,14368,1222,848,54.4590175933333,0.0160771704180064,62.2,-3.26,-8.17956036583333,3125,1,62.6,1802,699,123855,188405,356740
L2,20050801,213,345,115.5,21345534.75,48,177.5,0.0207684319833853,48.15,5.83,14368,1224,843,54.4588829369444,0.0159311773140035,62.77,-3.01,-8.17949810055556,3125,0,62.4,1776,693,123854.75,188409,356725
L2,20050801,213,345,115.1,21345534.5,48,177.8,0.020329335230738,49.19,5.06,14368,1230,844,54.4587482805556,0.0159083678014636,62.86,-3.66,-8.17943583583333,3125,2,63,1766,693,123854.5,188413,356710
L2,20050801,213,345,116.2,21345534.25,48,178,0.0181257930034439,55.17,6.97,14368,1230,837,54.4586136241667,0.0154750851129681,64.62,-2.75,-8.17937357138889,3125,0,62.1,1713,674,123854.25,188417,356695
L2,20050801,213,345,115.9,21345534,48,178.2,0.0176991150442478,56.5,6.06,14368,1248,837,54.4584879508333,0.0155617802676626,64.26,-3.18,-8.17931134638889,3125,0,62.6,1713,676,123854,188421,356681
L2,20050801,213,345,117,21345533.75,48,178.2,0.0176991150442478,56.5,7.02,14368,1256,833,54.4583532941667,0.0155666251556663,64.24,-1.94,-8.17924908277778,3125,2,61.5,1721,674,123853.75,188425,356666
L2,20050801,213,345,116.7,21345533.5,48,178.2,0.0180766449746927,55.32,6.93,14368,1248,837,54.4582186377778,0.015605493133583,64.08,-2.35,-8.17918681972222,3125,1,61.8,1729,677,123853.5,188429,356651
L2,20050801,213,345,117,21345533.25,48,178.2,0.0166472448809722,60.07,8.63,14368,1234,835,54.4580839811111,0.0149835181300569,66.74,-2.13,-8.17912455666667,3125,0,61.5,1699,659,123853.25,188433,356636
L2,20050801,213,345,115.9,21345533,48,178.2,0.0175623463294696,56.94,7.92,14368,1222,835,54.4579583077778,0.0150262960180316,66.55,-3.19,-8.17906233361111,3125,0,62.6,1727,660,123853,188437,356622
L2,20050801,213,345,115.4,21345532.75,48,178.1,0.0185425551641016,53.93,7.63,14368,1224,835,54.4578236283333,0.0154583397743082,64.69,-3.24,-8.17901549,3125,0,63,1770,670,123852.75,188440,356607
L2,20050801,213,345,115.2,21345532.5,48,177.9,0.0171762281003092,58.22,7.29,14368,1233,831,54.4576889713889,0.0143041052782148,69.91,-3.57,-8.17895322833333,3125,0,63,1757,644,123852.5,188444,356592
L2,20050801,213,345,114.9,21345532.25,48,177.8,0.0168548794876117,59.33,6.39,14368,1269,840,54.4575542919444,0.0143657520471197,69.61,-4.03,-8.17890638555556,3125,1,63.2,1779,650,123852.25,188447,356577
L2,20050801,213,345,115.6,21345532,48,177.6,0.0160720025715204,62.22,6.47,14368,1317,838,54.4574286183333,0.0142470437384243,70.19,-3.13,-8.17884416388889,3125,0,62.4,1797,643,123852,188451,356563
L2,20050801,213,345,116.7,21345531.75,48,177.4,0.0138753989177189,72.07,5.62,14368,1414,827,54.4572939388889,0.013798813302056,72.47,-1.16,-8.17879732166667,3125,0,61.1,1813,633,123851.75,188454,356548
L2,20050801,213,345,116.7,21345531.5,48,177.2,0.0140252454417952,71.3,5.41,14368,1444,834,54.4571682652778,0.0136630687252357,73.19,-1.34,-8.17873510055556,3125,1,60.9,1848,633,123851.5,188458,356534
L2,20050801,213,345,116.5,21345531.25,48,177,0.0135906496330525,73.58,4.87,14368,1472,831,54.4570336083333,0.013883104262113,72.03,-1.01,-8.17867284083333,3125,0,60.9,1846,637,123851.25,188462,356519
L2,20050801,213,345,115.7,21345531,48,176.8,0.013550135501355,73.8,4.14,14368,1480,836,54.4569079347222,0.0135446295543817,73.83,-2.12,-8.17861062055556,3125,0,61.5,1850,631,123851,188466,356505
L2,20050801,213,345,114.9,21345530.75,48,176.6,0.0126008064516129,79.36,3.83,14368,1437,821,54.456773255,0.0129988301052905,76.93,-2.42,-8.17856377972222,3125,0,62.1,1783,613,123850.75,188469,356490
L2,20050801,213,345,114.1,21345530.5,48,176.5,0.0123107226394189,81.23,3.59,14368,1407,821,54.4566385980556,0.0127291242362525,78.56,-3.31,-8.17850152111111,3125,0,62.7,1739,606,123850.5,188473,356475
L2,20050801,213,345,116.9,21345530.25,48,176.3,0.0115048320294524,86.92,6.14,14368,1415,815,54.4565039411111,0.0127599846880184,78.37,-0.06,-8.17843926305556,3125,0,59.7,1693,604,123850.25,188477,356460
L2,20050801,213,345,120.3,21345530,48,176.1,0.010391769718383,96.23,9.01,14368,1413,806,54.4563782672222,0.0124131082423039,80.56,3.93,-8.17837704416667,3125,1,56.2,1636,597,123850,188481,356446
L2,20050801,213,345,121.2,21345529.75,48,175.9,0.0105909764880322,94.42,10.73,14368,1381,802,54.4562435875,0.0122970978848992,81.32,5.04,-8.17833020472222,3125,0,55.1,1624,592,123849.75,188484,356431
L2,20050801,213,345,120.9,21345529.5,48,175.8,0.0104766893661603,95.45,11.19,14368,1346,796,54.4561089302778,0.0124054087582186,80.61,5.29,-8.17826794777778,3125,0,55.2,1586,592,123849.5,188488,356416
L2,20050801,213,345,120,21345529.25,48,175.6,0.0103960910697578,96.19,10.97,14368,1318,794,54.4559742505556,0.0124424536518601,80.37,4.71,-8.17822110888889,3125,0,55.9,1556,592,123849.25,188491,356401
L2,20050801,213,345,119.8,21345529,48,175.4,0.00961630926050582,103.99,10.39,14368,1316,789,54.4558485766667,0.012298610257041,81.31,5,-8.17815889166667,3125,0,55.9,1518,585,123849,188495,356387
L2,20050801,213,345,119.2,21345528.75,48,175.4,0.00948226815854352,105.46,9.65,14368,1314,782,54.4557138966667,0.0122729504172803,81.48,4.54,-8.17811205361111,3125,0,56.6,1506,581,123848.75,188498,356372
L2,20050801,213,345,118.2,21345528.5,48,175.4,0.00864453665283541,115.68,7.58,14368,1357,776,54.4555792166667,0.012227928588897,81.78,4.24,-8.17806521583333,3125,0,57.6,1489,576,123848.5,188501,356357
L2,20050801,213,345,116.9,21345528.25,48,175.5,0.00837731423305688,119.37,6.22,14368,1338,763,54.4554445369444,0.0116972745350333,85.49,3.53,-8.17801837833333,3125,0,58.9,1457,558,123848.25,188504,356342
L2,20050801,213,345,116.3,21345528,48,175.5,0.00798084596967279,125.3,5.44,14368,1328,750,54.4553188627778,0.0115834588208039,86.33,3.22,-8.1779561625,3125,1,59.6,1420,549,123848,188508,356328
L2,20050801,213,345,115.6,21345527.75,48,175.5,0.0074150971377725,134.86,4.13,14368,1338,733,54.4551841827778,0.0113071008593397,88.44,2.87,-8.17790932555556,3125,0,60.3,1384,534,123847.75,188511,356313
L2,20050801,213,345,114.6,21345527.5,48,175.6,0.00669792364367046,149.3,2.03,14368,1360,711,54.4550585086111,0.010801468999784,92.58,2.64,-8.17784711055556,3125,0,61.3,1361,513,123847.5,188515,356299
L2,20050801,213,345,113.2,21345527.25,48,175.6,0.00615839389087326,162.38,-0.37,14368,1382,703,54.4549238286111,0.0107457554266065,93.06,1.53,-8.17780027416667,3125,0,62.7,1325,508,123847.25,188518,356284
