Line,_Distance,BASE,DATE,DAY,DIR,DTM,FID,FLIGHT,GPS_H,IGRF,LAT,LONG,MAG_LEFT,MAGL,MAGL_IGRF,MAGL_NLBWF,MAGL_NLF,MAGL_NLF_fid,MAGL_NLF_Res,MAGL_RES,MAGL_RES_BASELINE,ORIG,ORIGL,RALT,TIME,UC50,X,Y
L2,0,17.97,20050801,213,345,83.4,21345484,48,135.1,,54.4329282419444,-8.16841326166667,49115.88,,49306.06,-190.169903564042,-190.18,0,-190.169903564042,-190.18,809.82,,49132.86,52.1,123804,,189121,353834
L2,5.3851648071345,17.97,20050801,213,345,83.4,21345484.1,48,135.4,,54.432973115,-8.16844426416667,49115.97,,49306.07,-190.074264432907,-190.1,0.185681731989511,-190.15208248595,-190.1,809.9,,49132.95,52.3,123804.1,,189119,353839
L2,10.770329614269,17.96,20050801,213,345,83.4,21345484.2,48,135.6,,54.4330179883333,-8.16847526694444,49116.09,,49306.07,-189.973743996747,-189.98,0.371363463979022,-190.134261407859,-189.98,810.02,,49133.06,52.6,123804.2,,189117,353844
L2,16.1554944214035,17.96,20050801,213,345,83.3,21345484.3,48,135.9,,54.4330628616667,-8.16850626944444,49116.21,,49306.08,-189.869660069799,-189.87,0.557045195968534,-190.116440329768,-189.87,810.13,,49133.18,52.9,123804.3,,189115,353849
L2,21.540659228538,17.96,20050801,213,345,83.6,21345484.4,48,136.1,,54.4331077347222,-8.16853727222222,49116.32,,49306.09,-189.767087985754,-189.77,0.742726927958045,-190.098619251677,-189.77,810.23,,49133.3,52.9,123804.4,,189113,353854
L2,26.6396787421308,17.96,20050801,213,345,83.1,21345484.5,48,136.4,,54.4331526294444,-8.16855286583333,49116.44,,49306.1,-189.668764291967,-189.66,0.928408659947556,-190.080798173586,-189.66,810.34,,49133.41,53.6,123804.5,,189112,353859
L2,32.0248435492653,17.96,20050801,213,345,83.3,21345484.6,48,136.7,,54.4331975027778,-8.16858386861111,49116.55,,49306.1,-189.573733486345,-189.55,1.1140967538899,-190.062977095495,-189.55,810.45,,49133.52,53.7,123804.6,,189110,353864
L2,37.4100083563998,17.95,20050801,213,345,83.2,21345484.7,48,136.9,,54.4332423758333,-8.16861487166667,49116.64,,49306.11,-189.483023132043,-189.47,1.29992093533943,-190.044253891117,-189.47,810.53,,49133.6,54.1,123804.7,,189108,353869
L2,42.7951731635343,17.95,20050801,213,345,83.4,21345484.8,48,137.2,,54.4332872491667,-8.16864587444444,49116.71,,49306.12,-189.400619000598,-189.41,1.48574511678896,-190.025412594339,-189.41,810.59,,49133.68,54.1,123804.8,,189106,353874
L2,48.1803379706688,17.95,20050801,213,345,83.6,21345484.9,48,137.4,,54.4333321222222,-8.1686768775,49116.81,,49306.13,-189.324807749938,-189.32,1.67156929823849,-190.006571297561,-189.32,810.68,,49133.78,54.2,123804.9,,189104,353879
L2,54.263100500967,17.95,20050801,213,345,83.2,21345485,48,137.7,,54.4333860002778,-8.16869250833333,49116.9,,49306.14,-189.250399744209,-189.24,1.85739347968802,-189.987730000784,-189.24,810.76,,49133.86,54.8,123805,,189103,353885
L2,59.6482653081015,17.95,20050801,213,345,83.2,21345485.1,48,138.1,,54.4334308733333,-8.16872351138889,49116.95,,49306.14,-189.186030903191,-189.19,2.04321766113755,-189.968888704006,-189.19,810.81,,49133.92,55.2,123805.1,,189101,353890
L2,65.033430115236,17.95,20050801,213,345,83.1,21345485.2,48,138.4,,54.4334757466667,-8.16875451472222,49117.02,,49306.15,-189.126415762404,-189.13,2.22896086318216,-189.950047407228,-189.13,810.87,,49133.97,55.7,123805.2,,189099,353895
L2,70.4185949223705,17.95,20050801,213,345,83.4,21345485.3,48,138.8,,54.4335206197222,-8.16878551805556,49117.09,,49306.15,-189.067871233316,-189.07,2.41387844623274,-189.930844323526,-189.07,810.93,,49134.03,55.7,123805.3,,189097,353900
L2,75.5176144359633,17.94,20050801,213,345,83.3,21345485.4,48,139.1,,54.4335655144444,-8.16880111194445,49117.15,,49306.16,-189.007568639997,-189.01,2.59879602928332,-189.91153225401,-189.01,810.99,,49134.11,56.2,123805.4,,189096,353905
L2,81.8421697563001,17.94,20050801,213,345,83.5,21345485.5,48,139.5,,54.4336193708333,-8.16883215222222,49117.22,,49306.17,-188.941808374813,-188.95,2.78371361233389,-189.892220184494,-188.95,811.05,,49134.17,56.3,123805.5,,189094,353911
L2,87.2273345634346,17.94,20050801,213,345,83.6,21345485.6,48,139.9,,54.4336642438889,-8.16886315583333,49117.27,,49306.17,-188.876615622932,-188.9,2.96863119538447,-189.872908114977,-188.9,811.1,,49134.22,56.6,123805.6,,189092,353916
L2,92.3263540770273,17.94,20050801,213,345,83.1,21345485.7,48,140.2,,54.4337091386111,-8.16887875,49117.34,,49306.18,-188.818203548618,-188.84,3.15354877843505,-189.853596045461,-188.84,811.16,,49134.29,57.5,123805.7,,189091,353921
L2,97.7115188841618,17.94,20050801,213,345,83,21345485.8,48,140.6,,54.4337540119444,-8.16890975361111,49117.43,,49306.18,-188.760955836958,-188.75,3.33918411562275,-189.834283975944,-188.75,811.25,,49134.38,57.9,123805.8,,189089,353926
L2,103.096683691296,17.93,20050801,213,345,82.9,21345485.9,48,140.9,,54.433798885,-8.16894075722222,49117.48,,49306.19,-188.70735489897,-188.7,3.52945873772231,-189.815091144812,-188.7,811.3,,49134.44,58.4,123805.9,,189087,353931
L2,109.179446221595,17.93,20050801,213,345,83.8,21345486,48,141.3,,54.4338527627778,-8.16895638861111,49117.54,,49306.19,-188.662706774184,-188.65,3.71973335982187,-189.795961747844,-188.65,811.35,,49134.47,57.9,123806,,189086,353937
L2,114.564611028729,17.93,20050801,213,345,82.9,21345486.1,48,141.6,,54.4338976358333,-8.16898739222222,49117.57,,49306.2,-188.633494821023,-188.63,3.91000798192143,-189.776832350876,-188.63,811.37,,49134.52,59.1,123806.1,,189084,353942
L2,119.949775835864,17.93,20050801,213,345,82.9,21345486.2,48,142,,54.4339425091667,-8.16901839611111,49117.61,,49306.21,-188.620782990713,-188.6,4.100282604021,-189.757702953907,-188.6,811.4,,49134.55,59.4,123806.2,,189082,353947
L2,125.048795349456,17.93,20050801,213,345,82.8,21345486.3,48,142.3,,54.4339874036111,-8.16903399055555,49117.59,,49306.21,-188.623336366043,-188.62,4.29055722612056,-189.738573556939,-188.62,811.38,,49134.54,59.9,123806.3,,189081,353952
L2,130.433960156591,17.93,20050801,213,345,82.8,21345486.4,48,142.7,,54.4340322766667,-8.16906499444444,49117.57,,49306.22,-188.64308750077,-188.65,4.48105312800122,-189.71944415997,-188.65,811.35,,49134.5,60.2,123806.4,,189079,353957
L2,136.516722686889,17.93,20050801,213,345,82.3,21345486.5,48,143,,54.4340861547222,-8.16908062611111,49117.54,,49306.22,-188.680667110614,-188.68,4.67256641007511,-189.700754683047,-188.68,811.32,,49134.46,61.1,123806.5,,189078,353963
L2,141.901887494024,17.93,20050801,213,345,82.8,21345486.6,48,143.3,,54.4341310277778,-8.16911163027778,49117.5,,49306.23,-188.73111036795,-188.74,4.86407969214901,-189.682444516522,-188.74,811.26,,49134.43,60.9,123806.6,,189076,353968
L2,147.287052301158,17.92,20050801,213,345,82.5,21345486.7,48,143.7,,54.4341759008333,-8.16914263444444,49117.46,,49306.24,-188.789423798701,-188.78,5.05559297422291,-189.664134349996,-188.78,811.22,,49134.38,61.5,123806.7,,189074,353973
