Line,BALT,D_KAL,D_THO,D_TOT_CPS,D_TOT_NGY,D_URA,DATE,DAY,DIR,DTM,FID,FLIGHT,GPS_H,LAT,LONG,RALT,TIME,TOUT,X,Y
L2,284,0.42,3.68,1028.1,24.11,1.02,20050801,213,345,114.2,21345536,48,175.1,54.45952,-8.179825,59.9,123856,14.8,188388,356796
L2,291,0.68,1.81,1072.53,24.66,0.56,20050801,213,345,115.1,21345535,48,177.3,54.458991,-8.179545,61.2,123855,14.8,188406,356737
L2,297,0.47,3.23,1032.61,23.83,0.55,20050801,213,345,115.9,21345534,48,178.2,54.458461,-8.179296,61.2,123854,14.9,188422,356678
L2,288,0.31,2.75,990.26,23.16,0.52,20050801,213,345,115.9,21345533,48,178.2,54.457931,-8.179047,61.2,123853,14.8,188438,356619
L2,293,0.41,2.51,1060.67,23.39,0.49,20050801,213,345,115.6,21345532,48,177.6,54.457402,-8.178829,61,123852,14.8,188452,356560
L2,285,0.32,2.39,979.24,23.01,0.64,20050801,213,345,115.7,21345531,48,176.8,54.456881,-8.178595,60.1,123851,14.8,188467,356502
L2,293,0.35,2.04,881.05,18.9,0.84,20050801,213,345,120.3,21345530,48,176.1,54.456351,-8.178362,54.8,123850,14.8,188482,356443
L2,285,0.21,1.98,661.3,14.34,0.19,20050801,213,345,119.8,21345529,48,175.4,54.455822,-8.178143,54.5,123849,14.8,188496,356384
L2,290,0.26,1.64,700.41,16.53,0.3,20050801,213,345,116.3,21345528,48,175.5,54.455292,-8.177941,58.2,123848,14.8,188509,356325
L2,291,0.22,1.85,887.69,19.71,1.04,20050801,213,345,111.5,21345527,48,175.6,54.454771,-8.177723,63.1,123847,14.8,188523,356267
L2,288,0.21,2.79,943.95,21.03,1.27,20050801,213,345,110.7,21345526,48,174.7,54.454242,-8.17752,62.9,123846,14.8,188536,356208
L2,291,0.48,3.38,1074.28,24.2,0.12,20050801,213,345,110.5,21345525,48,174.4,54.453721,-8.177302,62.8,123845,14.8,188550,356150
L2,296,0.37,2.68,1138.71,26.68,1.05,20050801,213,345,109.5,21345524,48,177.7,54.4532,-8.177099,67.1,123844,14.8,188563,356092
L2,305,0.54,3.19,1176.96,26.54,0.91,20050801,213,345,97.9,21345523,48,183.7,54.452697,-8.176881,84.7,123843,14.7,188577,356036
L2,309,0.35,4.22,1130.97,28.23,1.15,20050801,213,345,97.8,21345522,48,187.5,54.452195,-8.176694,88.6,123842,14.8,188589,355980
L2,308,0.44,5.02,1189.57,27.95,0.86,20050801,213,345,96.5,21345521,48,186.2,54.451701,-8.176491,88.6,123841,14.8,188602,355925
L2,299,0.35,4.47,1094.49,25.99,0.64,20050801,213,345,94.4,21345520,48,180.9,54.451207,-8.176273,85.4,123840,14.8,188616,355870
L2,294,0.29,1.58,1017.6,23.73,1.64,20050801,213,345,93.1,21345519,48,174.9,54.450713,-8.176071,80.7,123839,14.7,188629,355815
L2,285,0.26,3.02,1086.94,23.83,0.67,20050801,213,345,91.4,21345518,48,168.7,54.45021,-8.175853,76.2,123838,14.8,188643,355759
L2,287,0.37,2.8,1036.34,24.68,0.61,20050801,213,345,93.1,21345517,48,163.5,54.449699,-8.175635,69.3,123837,14.7,188657,355702
L2,277,0.45,2.49,985.58,21.75,0.67,20050801,213,345,90.5,21345516,48,158.7,54.449187,-8.175417,67.1,123836,14.8,188671,355645
L2,275,0.4,2.28,1003.22,22.99,0.95,20050801,213,345,84.6,21345515,48,154.9,54.448666,-8.17523,69.2,123835,14.8,188683,355587
L2,263,0.26,2.13,1092.63,24.95,1.76,20050801,213,345,82.6,21345514,48,152.1,54.448137,-8.175042,68.5,123834,14.7,188695,355528
L2,266,0.35,2.52,1129.27,25.27,0.48,20050801,213,345,81.8,21345513,48,149.7,54.447598,-8.174855,66.8,123833,14.8,188707,355468
L2,265,0.46,1.96,1267.68,29.63,1.94,20050801,213,345,81.2,21345512,48,148.2,54.447068,-8.174683,65.9,123832,14.7,188718,355409
L2,259,0.47,3.8,1243.2,28.27,1.14,20050801,213,345,83.3,21345511,48,147.5,54.446529,-8.174511,63.1,123831,14.8,188729,355349
