x,y,region,horizon,host,REE_anom,F_LREE,F_HREE,F_HFSE,favourability
636448.29,919025.99,ROI,S,Metasediment,0.7898553059843383,0.7462919281973374,0.5140926718106584,0.5254867468916163,0.872866109622996
642931.19,948597.61,ROI,S,Metasediment,0.834649221745996,0.7584456082836925,0.03466197577259825,0.7342981649542238,0.9634190221085036
632564.44,948546.72,ROI,S,Caledonian granite,0.3308787986207341,0.24391316515411987,0.45404389717346977,0.872866109622996,0.5167712789349538
646281.44,947401.84,ROI,S,Metasediment,0.3200992555831265,0.12545476352296805,0.8892176068444408,0.2780554111861832,0.4769919641786271
662939.78,945411.12,ROI,S,Metasediment,0.808191808191808,0.7552072922080518,0.4603606124815096,0.5132531083836405,0.5806980370207492
644706.57,925373.56,ROI,S,Metasediment,0.8720070252328317,0.5932515092152081,0.6695318434414105,0.4129452684604006,0.9213608923359853
647224.02,924647.69,ROI,S,Carbonate,0.6954899938770907,0.7614840283052813,0.40482948866589374,0.5503138368048615,0.9264382521089034
647425.21,949378.4,ROI,S,Metasediment,0.7531500757307209,0.6507416143605326,0.7799544236996762,0.44145044576820053,0.8252508695478351
632979.29,942970.91,ROI,S,Metasediment,0.2584915084915085,0.2778954943429417,0.20681245752208852,0.7108303682085315,0.24599208411625956
637543.36,948874.61,ROI,S,Metasediment,0.8132351519448293,0.44368928157358173,0.7086714908247711,0.8523567744772719,0.8439211609962819
644895.84,956854.83,ROI,S,Metasediment,0.42235184170668033,0.021069044097069525,0.9114060688442011,0.9718146563786831,0.4510454563626914
649359.81,950918.06,ROI,S,Metasediment,0.7382697947214076,0.753648102986447,0.14712349578219325,0.5923719665773798,0.698836604965418
647210.28,951075.04,ROI,S,Metasediment,0.8200025780670941,0.7410546515811778,0.446567784751929,0.4551633150761604,0.9226002478711071
665005.31,944514.3,ROI,S,Metasediment,0.16672037639779577,0.2764162635429577,0.002198856594570823,0.15459960820373406,0.0360612481509615
640685.7,951244.07,ROI,S,Metasediment,0.2528680996422932,0.08755447167472914,0.7720785191700316,0.695038579938432,0.2946867628833007
650416.58,951208.98,ROI,S,Metasediment,0.6642228739002933,0.9216807260224683,0.1757885899332347,0.03322272418342462,0.5140127133890376
652940.02,951087.99,ROI,S,Metasediment,0.7142051496890206,0.7798744652780554,0.29604605605085355,0.6017271019070084,0.4402510694438892
642972.22,953202.63,ROI,S,Metasediment,0.2386726177048758,0.2374765122136489,0.292607843921161,0.876664134649982,0.3122776156398673
666277.02,943199.57,ROI,S,Metasediment,0.18014243820695433,0.014792307999840083,0.6219565825770599,0.9378723064006717,0.1078239315555911
641533.57,957126.8,ROI,S,Metasediment,0.4169620701878767,0.3289889257586055,0.506336704913445,0.8862191660336625,0.6000879542637828
662463.89,946600.87,ROI,S,Metasediment,0.8198253359543682,0.9587014752328789,0.01375284851877024,0.5627473713668892,0.5003798025026986
635603.75,946268.18,ROI,S,Metasediment,0.22001385711063132,0.03909966817255028,0.6755687042737777,0.4591612361571983,0.19365929716547395
655157.48,944533.37,ROI,S,Metasediment,0.5845525442299637,0.5271258945348419,0.558389637388558,0.6469435893335466,0.3516971174989006
638528.1,944274.58,ROI,S,Metasediment,0.7625358512455288,0.9922040538919762,0.13457002358773437,0.1756286730899932,0.6572982049334346
652481.15,954593.24,ROI,S,Metasediment,0.5601736972704715,0.7930676048454803,0.00715627873505777,0.8908967336984768,0.2698196937592452
651063.47,954707.23,ROI,S,Metasediment,0.395725242499436,0.3506176788070203,0.2544276975972494,0.8485587494502859,0.17099108463598928
648450.99,949250.42,ROI,S,Metasediment,0.44336308852437883,0.10582497101507216,0.630512133690481,0.9840482948866589,0.42537880302242836
635692.49,922936.16,ROI,S,Metasediment,0.6739953594792304,0.7088314076680127,0.31635549514252587,0.5449966017670811,0.8688681885419581
652714.03,946577.95,ROI,S,Metasediment,0.410130192388257,0.350897533282693,0.6583776436253148,0.6610962299604206,0.33398632710990284
642493.27,947018.95,ROI,S,Metasediment,0.8756404885437145,0.9251189381521608,0.18322472314396515,0.3514172630232279,0.9200415783792428
638942.79,923149.09,ROI,S,Metasediment,0.6016644645676904,0.5842561867828729,0.5774197417342982,0.7390157118298485,0.8994123056010874
639441.04,957745.69,ROI,S,Caledonian granite,0.36805130353517457,0.2350377803542158,0.7492104105864951,0.810138727861512,0.5055371206972374
640521.69,946740.03,ROI,S,Metasediment,0.7731542650897488,0.816895214488466,0.501899012513493,0.43805221284931833,0.6724503258305681
645508.61,947465.83,ROI,S,Metasediment,0.3959105410718314,0.37468516371486826,0.2229240794786711,0.6041258545556311,0.5368008635509535
642904.25,954459.36,ROI,S,Metasediment,0.38067577583706613,0.16271538799824092,0.18210530524127455,0.9882860912325591,0.39363530963898774
634858.65,921022.58,ROI,S,Metasediment,0.744207405497728,0.7137088713868788,0.45416383480590095,0.432734977811538,0.844360932315196
646212.55,956920.8,ROI,S,Metasediment,0.1526779671940962,0.05037380562107704,0.471274937032743,0.2802142885699436,0.08559549034502059
642865.22,950301.25,ROI,S,Metasediment,0.7125777448358094,0.7256626554191821,0.49006516611362094,0.6866029664574421,0.9629792507895895
637243.16,922905.16,ROI,S,Metasediment,0.4928942025716219,0.46191980170311436,0.464838284092272,0.7682005357214249,0.7086714908247711
643385.17,956728.87,ROI,S,Metasediment,0.3826657213753988,0.1423659696957582,0.7934274177427738,0.8583136768880182,0.5142126094430896
635267.81,944350.59,ROI,S,Metasediment,0.4566562469788277,0.24239395514332546,0.648262903290289,0.5820173509774917,0.4067884699956023
640904.73,958901.43,ROI,S,Metasediment,0.4260336437755792,0.30508135769399913,0.04049894055091353,0.9750529724543238,0.5777395754207812
638776.81,920864.58,ROI,S,Metasediment,0.7776497695852534,0.8057809938831807,0.7299004517650821,0.3673289889257586,0.9807699996002079
640201.5,921156.5,ROI,S,Metasediment,0.8074828397409043,0.7871506816455444,0.33114780314236597,0.5945708231719505,0.9826490225082957
631576.36,921275.56,ROI,S,Metasediment,0.7579114433953144,0.49678167352976454,0.36009275176908007,0.7971854635589494,0.9796905609083276
651080.39,946656.95,ROI,S,Metasediment,0.6213141697012664,0.6222764162635429,0.060848358853396234,0.9773317874705153,0.7333386638947748
646948.35,953276.57,ROI,S,Metasediment,0.8964019851116625,0.9962419541838244,0.6326710110742414,0.007915883740454963,0.8586734897853117
638799.79,919796.81,ROI,S,Metasediment,0.8317569527246946,0.6554191820253468,0.6367888697877104,0.5400391796265942,0.9472674209411106
630781.76,943062.91,ROI,S,Metasediment,0.23196964325996586,0.05761004277775557,0.8697077519689761,0.73389837284612,0.26266341502418744
648246.1,956265.92,ROI,S,Metasediment,0.2193048886597274,0.023947547275416783,0.6355095350417783,0.5062567464918243,0.10830368208531564
641596.55,955718.1,ROI,S,Metasediment,0.4744368534691116,0.27257825930516133,0.5975292847719186,0.8609123255906929,0.6381081837444529
639749.9,950973.14,ROI,S,Metasediment,0.2472366343334085,0.5469156038859793,0.00799584216207572,0.7808339663375045,0.25962499500259867
633171.28,946272.2,ROI,S,Metasediment,0.5618655538010378,0.277295806180786,0.7262623435813377,0.8414424499260384,0.7709990804781514
632973.06,921064.59,ROI,S,Metasediment,0.7098224356288871,0.7897893095590293,0.3574141446447847,0.5541918202534682,0.9239595410386598
639109.02,949134.53,ROI,S,Metasediment,0.27287228900132127,0.06380682045336425,0.892615839763323,0.4679166833246712,0.2721384879862471
645070.76,953091.63,ROI,S,Metasediment,0.6923802004447167,0.35557510094750727,0.6707312197657218,0.8182545076560189,0.7762763363051214
639044.14,959038.42,ROI,S,Metasediment,0.643549998388708,0.9402710590492944,0.09930835965298045,0.21744692759764922,0.7692399952024948
640547.74,952238.86,ROI,S,Metasediment,0.32349102510392835,0.16903210330628074,0.461879822492304,0.9711749890057171,0.36816855235277657
666231.05,944881.21,ROI,S,Metasediment,0.4273790725403629,0.9095670251469236,0.7997841122616239,0.00399792108103786,0.24379322752168872
650880.49,953311.53,ROI,S,Metasediment,0.3870564918952015,0.001599168432415144,0.7018350457761964,0.9994402910486547,0.21556790468956144
634369.05,948711.67,ROI,S,Caledonian granite,0.33924946021720215,0.008995322432335185,0.8954943429416703,0.9163235117738776,0.5225682645024587
632229.46,944352.62,ROI,S,Metasediment,0.24526280171441464,0.061128213329068884,0.8109383120777196,0.07532083316675328,0.2519090073161956
630675.84,947747.91,ROI,S,Metasediment,0.648367761270987,0.12777355774997,0.6984368128573142,0.9165633870387399,0.6760484548035022
636593.55,947472.91,ROI,S,Metasediment,0.725024975024975,0.5645864150641666,0.5510334625994483,0.733258705473154,0.8595130532123296
644911.82,954936.24,ROI,S,Metasediment,0.4877622377622377,0.6065645864150642,0.6193579338743853,0.5767001159397114,0.5352816535401591
645071.74,950939.09,ROI,S,Metasediment,0.8669959073184881,0.7575660656458642,0.6872426338304082,0.4580018390436973,0.9972814136648942
648661.98,952921.63,ROI,S,Metasediment,0.531702168798943,0.6107224243393435,0.93135569503858,0.007236237156678527,0.3686083236716907
652272.15,949209.4,ROI,S,Metasediment,0.6528632657664916,0.7395754207811938,0.5637068724263383,0.2732579058889378,0.5140526925998481
648615.93,947082.88,ROI,S,Metasediment,0.565539299410267,0.6900011993763243,0.045656258745452365,0.9394314956222765,0.7264622396353896
630939.78,948301.79,ROI,S,Metasediment,0.26729721891012215,0.029704553632111302,0.6872026546195978,0.526286331107824,0.21520809179226802
630972.74,944770.55,ROI,S,Metasediment,0.4340175953079179,0.337064726342302,0.5595890137128693,0.8196138008235717,0.5964498460800384
654617.64,949347.35,ROI,S,Metasediment,0.6792159453449776,0.8238116179586615,0.04121856634550034,0.744133050813577,0.44964618398432815
640893.64,949535.43,ROI,S,Metasediment,0.27135767458348103,0.1534402110902331,0.7619637788350058,0.3516971174989006,0.2945268460400592
651345.36,949346.37,ROI,S,Metasediment,0.6203876768392896,0.2854915443969136,0.6445848158957342,0.8744252988446009,0.6004877463718866
